inclusion_filter,story_condition,load_condition,analysis_scope,agent_role,dv,condition,n,mean,median,std
included_only,pooled,low,between_subjects_first_vignette,distal,punish,CH,38,1.5583685599047634,1.791759469228055,0.3966372413121939
included_only,pooled,low,between_subjects_first_vignette,distal,punish,DIV,49,1.4589409914443923,1.791759469228055,0.7107088100528763
included_only,pooled,low,within_subjects_deltas,distal,blame,CH - CC,137,0.5547445255474452,1.0,0.8217601985730268
included_only,pooled,low,within_subjects_deltas,distal,blame,DIV - CC,137,0.13138686131386862,0.0,0.6509892726162235
included_only,pooled,low,within_subjects_deltas,distal,blame,"MIN(CH, DIV) - CC",137,-0.06569343065693431,0.0,0.6987844441899237
included_only,pooled,low,within_subjects_deltas,proximate,blame,CC - CH,137,6.364963503649635,6.0,0.9615850304143914
included_only,pooled,low,within_subjects_deltas,distal,wrong,CH - CC,137,0.5474452554744526,1.0,0.8222172580331011
included_only,pooled,low,within_subjects_deltas,distal,wrong,DIV - CC,137,0.0072992700729927005,0.0,0.8357486109238997
included_only,pooled,low,within_subjects_deltas,distal,wrong,"MIN(CH, DIV) - CC",137,-0.1386861313868613,0.0,0.8926372175933054
included_only,pooled,low,within_subjects_deltas,proximate,wrong,CC - CH,137,5.7153284671532845,6.0,1.4700385404586038
included_only,pooled,low,within_subjects_deltas,distal,punish,CH - CC,137,0.16227477699148785,0.27193371548364187,0.2715357102099913
included_only,pooled,low,within_subjects_deltas,distal,punish,DIV - CC,137,0.04198100993056023,0.0,0.25748417900621995
included_only,pooled,low,within_subjects_deltas,distal,punish,"MIN(CH, DIV) - CC",137,-0.03930901028675628,0.0,0.24621880283284786
included_only,pooled,low,within_subjects_deltas,proximate,punish,CC - CH,137,1.6608361883871021,1.6422277352570913,0.6719989075867457
included_only,firework,pooled,within_subjects_all_vignettes,distal,blame,CC,114,7.850877192982456,8.0,0.833294518580601
included_only,firework,pooled,within_subjects_all_vignettes,distal,blame,CH,114,8.412280701754385,8.0,0.5770140334909724
included_only,firework,pooled,within_subjects_all_vignettes,distal,blame,DIV,114,8.25438596491228,8.0,0.6888672696532354
included_only,firework,pooled,within_subjects_all_vignettes,distal,wrong,CC,114,7.87719298245614,8.0,1.0981911988951876
included_only,firework,pooled,within_subjects_all_vignettes,distal,wrong,CH,114,8.342105263157896,9.0,0.8182535618477189
included_only,firework,pooled,within_subjects_all_vignettes,distal,wrong,DIV,114,7.850877192982456,8.0,1.4342982999026233
included_only,firework,pooled,within_subjects_all_vignettes,distal,punish,CC,114,2.0919941719095134,2.0794415416798357,0.4083967613667172
included_only,firework,pooled,within_subjects_all_vignettes,distal,punish,CH,114,2.2719026015221897,2.1972245773362196,0.40807050790915583
included_only,firework,pooled,within_subjects_all_vignettes,distal,punish,DIV,114,2.2221668141194892,2.1972245773362196,0.400893272286793
included_only,firework,pooled,within_subjects_all_vignettes,proximate,blame,CC,114,8.885964912280702,9.0,0.319257211194281
included_only,firework,pooled,within_subjects_all_vignettes,proximate,blame,CH,114,2.543859649122807,3.0,0.7542252765175195
included_only,firework,pooled,within_subjects_all_vignettes,proximate,wrong,CC,114,8.885964912280702,9.0,0.319257211194281
included_only,firework,pooled,within_subjects_all_vignettes,proximate,wrong,CH,114,3.5,3.0,1.619843759536621
included_only,firework,pooled,within_subjects_all_vignettes,proximate,punish,CC,114,2.6865465241385587,2.772588722239781,0.36991620174829576
included_only,firework,pooled,within_subjects_all_vignettes,proximate,punish,CH,114,0.48367612664878545,0.0,0.7155505080985437
included_only,firework,pooled,between_subjects_first_vignette,distal,blame,CC,34,7.529411764705882,7.5,0.5632854982907605
included_only,firework,pooled,between_subjects_first_vignette,distal,blame,CH,28,8.071428571428571,8.0,0.5394490624751247
included_only,firework,pooled,between_subjects_first_vignette,distal,blame,DIV,52,7.75,8.0,0.5557189302262113
included_only,firework,pooled,between_subjects_first_vignette,distal,wrong,CC,34,7.823529411764706,8.0,0.672876603361388
included_only,firework,pooled,between_subjects_first_vignette,distal,wrong,CH,28,8.357142857142858,8.0,0.67846699279881
