inclusion_filter,story_condition,load_condition,analysis_scope,agent_role,dv,condition,n,mean,median,std
included_only,all,low,within_subjects_deltas,clark,punishment,DIV-CC,151,2.1125827814569536,0.0,6.976668781357491
included_only,all,low,within_subjects_deltas,clark,punishment,"MIN(CH,DIV)-CC",151,0.32450331125827814,0.0,5.704442326087244
included_only,all,low,within_subjects_deltas,proximate,punishment,CC-CH_proximate,151,5.3841059602649,3.0,10.12446602848915
included_only,parade,all,within_subjects_all_vignettes,clark,blame,CC,147,5.91156462585034,6.0,1.8576947345996535
included_only,parade,all,within_subjects_all_vignettes,clark,blame,CH,147,7.129251700680272,7.0,1.5844799883473175
included_only,parade,all,within_subjects_all_vignettes,clark,blame,DIV,147,6.63265306122449,7.0,1.8135019956973024
included_only,parade,all,within_subjects_all_vignettes,clark,wrongness,CC,147,5.931972789115647,6.0,1.9712309760396753
included_only,parade,all,within_subjects_all_vignettes,clark,wrongness,CH,147,6.993197278911564,7.0,1.87081624058055
included_only,parade,all,within_subjects_all_vignettes,clark,wrongness,DIV,147,6.2312925170068025,7.0,1.9864887009628849
included_only,parade,all,within_subjects_all_vignettes,clark,punishment,CC,147,3.9659863945578233,2.0,6.472719322237846
included_only,parade,all,within_subjects_all_vignettes,clark,punishment,CH,147,6.462585034013605,3.0,8.238127288227268
included_only,parade,all,within_subjects_all_vignettes,clark,punishment,DIV,147,6.0,3.0,8.97256091175025
included_only,parade,all,within_subjects_all_vignettes,proximate,blame,CC,147,7.904761904761905,9.0,1.6315944522524597
included_only,parade,all,within_subjects_all_vignettes,proximate,blame,CH,147,5.639455782312925,6.0,2.454923981835903
included_only,parade,all,within_subjects_all_vignettes,proximate,wrongness,CC,147,7.850340136054422,9.0,1.6975152731840537
included_only,parade,all,within_subjects_all_vignettes,proximate,wrongness,CH,147,6.346938775510204,7.0,2.3133118677765325
included_only,parade,all,within_subjects_all_vignettes,proximate,punishment,CC,147,11.414965986394558,5.0,12.657686785471867
included_only,parade,all,within_subjects_all_vignettes,proximate,punishment,CH,147,6.91156462585034,4.0,10.200674950854314
included_only,parade,all,between_subjects_first_vignette,clark,blame,CC,47,5.446808510638298,6.0,1.8974641044699845
included_only,parade,all,between_subjects_first_vignette,clark,blame,CH,50,6.78,7.0,1.4468826447763836
included_only,parade,all,between_subjects_first_vignette,clark,blame,DIV,50,6.1,6.0,1.8210783977117089
included_only,parade,all,between_subjects_first_vignette,clark,wrongness,CC,47,6.170212765957447,6.0,1.937267786209656
included_only,parade,all,between_subjects_first_vignette,clark,wrongness,CH,50,6.6,7.0,1.8844151368961313
included_only,parade,all,between_subjects_first_vignette,clark,wrongness,DIV,50,5.5,6.0,1.9820624179302297
included_only,parade,all,between_subjects_first_vignette,clark,punishment,CC,47,2.3404255319148937,1.0,2.936106529762937
included_only,parade,all,between_subjects_first_vignette,clark,punishment,CH,50,6.88,3.0,9.451573673095883
included_only,parade,all,between_subjects_first_vignette,clark,punishment,DIV,50,3.6,2.0,5.337583340648401
included_only,parade,all,within_subjects_deltas,clark,blame,CH-CC,147,1.217687074829932,1.0,1.6112490126790437
included_only,parade,all,within_subjects_deltas,clark,blame,DIV-CC,147,0.7210884353741497,0.0,1.646009341528653
included_only,parade,all,within_subjects_deltas,clark,blame,"MIN(CH,DIV)-CC",147,0.2925170068027211,0.0,1.400640188039963
included_only,parade,all,within_subjects_deltas,proximate,blame,CC-CH_proximate,147,2.2653061224489797,2.0,2.753146470465923
included_only,parade,all,within_subjects_deltas,clark,wrongness,CH-CC,147,1.0612244897959184,1.0,1.86981974735944
included_only,parade,all,within_subjects_deltas,clark,wrongness,DIV-CC,147,0.29931972789115646,0.0,1.8297951303333677
included_only,parade,all,within_subjects_deltas,clark,wrongness,"MIN(CH,DIV)-CC",147,-0.047619047619047616,0.0,1.7333684576701116
included_only,parade,all,within_subjects_deltas,proximate,wrongness,CC-CH_proximate,147,1.5034013605442176,1.0,2.4727948517623224
included_only,parade,all,within_subjects_deltas,clark,punishment,CH-CC,147,2.496598639455782,1.0,4.878488073753134
included_only,parade,all,within_subjects_deltas,clark,punishment,DIV-CC,147,2.0340136054421767,0.0,6.429187475012275
included_only,parade,all,within_subjects_deltas,clark,punishment,"MIN(CH,DIV)-CC",147,0.6598639455782312,0.0,4.724602757294958
included_only,parade,all,within_subjects_deltas,proximate,punishment,CC-CH_proximate,147,4.503401360544218,2.0,8.81108746546689
included_only,parade,high,within_subjects_all_vignettes,clark,blame,CC,69,5.811594202898551,6.0,1.6113144279898484
included_only,parade,high,within_subjects_all_vignettes,clark,blame,CH,69,7.173913043478261,7.0,1.4847907531240419
included_only,parade,high,within_subjects_all_vignettes,clark,blame,DIV,69,6.507246376811594,7.0,1.5588758053934542
included_only,parade,high,within_subjects_all_vignettes,clark,wrongness,CC,69,5.956521739130435,6.0,1.7609721797640114
included_only,parade,high,within_subjects_all_vignettes,clark,wrongness,CH,69,7.130434782608695,7.0,1.6795749066378889
included_only,parade,high,within_subjects_all_vignettes,clark,wrongness,DIV,69,6.159420289855072,7.0,1.9221861665806548
included_only,parade,high,within_subjects_all_vignettes,clark,punishment,CC,69,4.159420289855072,2.0,6.390763528916044
included_only,parade,high,within_subjects_all_vignettes,clark,punishment,CH,69,6.869565217391305,5.0,7.914827937407885
included_only,parade,high,within_subjects_all_vignettes,clark,punishment,DIV,69,5.115942028985507,2.0,7.011621092838027
included_only,parade,high,within_subjects_all_vignettes,proximate,blame,CC,69,7.942028985507246,8.0,1.4130074098616592
included_only,parade,high,within_subjects_all_vignettes,proximate,blame,CH,69,5.463768115942029,6.0,2.5238842039306815
included_only,parade,high,within_subjects_all_vignettes,proximate,wrongness,CC,69,7.884057971014493,8.0,1.4300990492646262
included_only,parade,high,within_subjects_all_vignettes,proximate,wrongness,CH,69,6.333333333333333,7.0,2.317875971575667
included_only,parade,high,within_subjects_all_vignettes,proximate,punishment,CC,69,11.420289855072463,7.0,11.031246792502717
included_only,parade,high,within_subjects_all_vignettes,proximate,punishment,CH,69,6.27536231884058,5.0,8.629436724121573
included_only,parade,high,between_subjects_first_vignette,clark,blame,CC,26,5.846153846153846,6.0,1.4612955263685081
included_only,parade,high,between_subjects_first_vignette,clark,blame,CH,22,6.545454545454546,7.0,1.2238608980744086
included_only,parade,high,between_subjects_first_vignette,clark,blame,DIV,21,5.857142857142857,6.0,1.6818357317441641
included_only,parade,high,between_subjects_first_vignette,clark,wrongness,CC,26,6.538461538461538,7.0,1.580652250958932
included_only,parade,high,between_subjects_first_vignette,clark,wrongness,CH,22,6.363636363636363,6.0,1.5900121157206724
included_only,parade,high,between_subjects_first_vignette,clark,wrongness,DIV,21,5.190476190476191,6.0,2.1358615970855324
included_only,parade,high,between_subjects_first_vignette,clark,punishment,CC,26,2.5384615384615383,1.0,3.1903701256220316
included_only,parade,high,between_subjects_first_vignette,clark,punishment,CH,22,7.0,4.0,8.640987597877148
included_only,parade,high,between_subjects_first_vignette,clark,punishment,DIV,21,4.285714285714286,1.0,6.634326319550894
included_only,parade,high,within_subjects_deltas,clark,blame,CH-CC,69,1.3623188405797102,1.0,1.5143530407866628
included_only,parade,high,within_subjects_deltas,clark,blame,DIV-CC,69,0.6956521739130435,0.0,1.565288432602072
