model_name,model_variant,analysis_scope,row_type,inclusion_filter,story_condition,contrast_label,display_label,estimate,standard_error,ci95_lower,ci95_upper,test_statistic,p_value,term_name,observed_standard_deviation,observed_median,n_model_rows,n_unique_participants,formula_string,analysis_meaning,likely_manuscript_use
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,coefficient,all_finishers,pooled,,"C(vignette_condition_position_1, Treatment(reference='CC'))[T.CH]",1.1606025039123617,0.28288030248134166,0.6061672991131356,1.7150377087115878,4.102804238159754,4.0817259506362104e-05,"C(vignette_condition_position_1, Treatment(reference='CC'))[T.CH]",,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",CH - CC in the firework story family.,Supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,coefficient,all_finishers,pooled,,"C(vignette_condition_position_1, Treatment(reference='CC'))[T.CH]:C(story_condition, Treatment(reference='firework'))[T.trolley]",-0.29869774200759724,0.39465844049285476,-1.0722140715683368,0.4748185875531422,-0.756851270264433,0.44913897242872647,"C(vignette_condition_position_1, Treatment(reference='CC'))[T.CH]:C(story_condition, Treatment(reference='firework'))[T.trolley]",,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",How the CH - CC contrast changes in trolley relative to firework.,Supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,coefficient,all_finishers,pooled,,"C(vignette_condition_position_1, Treatment(reference='CC'))[T.DIV]",0.4300469483568068,0.3055086155017251,-0.16873893499326964,1.0288328317068833,1.407642621307282,0.1592369201217656,"C(vignette_condition_position_1, Treatment(reference='CC'))[T.DIV]",,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",DIV - CC in the firework story family.,Supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,coefficient,all_finishers,pooled,,"C(vignette_condition_position_1, Treatment(reference='CC'))[T.DIV]:C(story_condition, Treatment(reference='firework'))[T.trolley]",0.11881433528708518,0.42845193967318146,-0.7209360355786784,0.9585647061528487,0.2773107653047749,0.7815414940810833,"C(vignette_condition_position_1, Treatment(reference='CC'))[T.DIV]:C(story_condition, Treatment(reference='firework'))[T.trolley]",,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",How the DIV - CC contrast changes in trolley relative to firework.,Supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,coefficient,all_finishers,pooled,,Intercept,5.436619718309859,0.21640136025657697,5.012480846001491,5.860758590618227,25.12285371895959,2.7990805272789924e-139,Intercept,,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Predicted mean for CC in the firework story family.,Supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,observed_descriptive,all_finishers,firework,,Firework | CC observed mean,5.436619718309859,,,,,,,1.8105436781427773,6.0,71,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Observed first-vignette Clark-blame descriptive statistic for one story-family × condition cell.,Figure support or supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,observed_descriptive,all_finishers,firework,,Firework | CH observed mean,6.597222222222222,,,,,,,1.5351260187957616,7.0,72,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Observed first-vignette Clark-blame descriptive statistic for one story-family × condition cell.,Figure support or supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,observed_descriptive,all_finishers,firework,,Firework | DIV observed mean,5.866666666666666,,,,,,,1.855112244971026,6.0,75,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Observed first-vignette Clark-blame descriptive statistic for one story-family × condition cell.,Figure support or supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,observed_descriptive,all_finishers,trolley,,Trolley | CC observed mean,5.871428571428571,,,,,,,1.6499576505011289,6.0,70,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Observed first-vignette Clark-blame descriptive statistic for one story-family × condition cell.,Figure support or supplement
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,observed_descriptive,all_finishers,trolley,,Trolley | CH observed mean,6.733333333333333,,,,,,,1.6385007429612852,7.0,75,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Observed first-vignette Clark-blame descriptive statistic for one story-family × condition cell.,Figure support or supplement
