model_name,model_variant,analysis_scope,row_type,inclusion_filter,story_condition,contrast_label,display_label,estimate,standard_error,ci95_lower,ci95_upper,test_statistic,p_value,term_name,observed_standard_deviation,observed_median,n_model_rows,n_unique_participants,formula_string,analysis_meaning,likely_manuscript_use
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,omnibus_test,all_finishers,all,condition_by_story_interaction,Within-subj | all_finishers | Omnibus story interaction,,,,,6.0390626696577945,0.04882409515372563,condition_by_story_interaction,,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Omnibus test of whether the repeated-measures condition contrasts differ across story family.,Supplement or story-robustness paragraph
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,all_finishers,all,,"C(story_condition, Treatment(reference='firework'))[T.trolley]",0.16347219944553584,0.1735115622048306,-0.1766042133772134,0.5035486122682851,0.9421400935377247,0.3461209198145714,"C(story_condition, Treatment(reference='firework'))[T.trolley]",,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",How the CC baseline shifts in trolley relative to firework.,Supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,all_finishers,all,,"C(vignette_condition, Treatment(reference='CC'))[T.CH]",1.1835382021811571,0.12176020473680436,0.9448925861467973,1.422183818215517,9.72023827275489,2.472023501742078e-22,"C(vignette_condition, Treatment(reference='CC'))[T.CH]",,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",CH - CC when the vignette is first in the firework story family.,Supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,all_finishers,all,,"C(vignette_condition, Treatment(reference='CC'))[T.CH]:C(story_condition, Treatment(reference='firework'))[T.trolley]",-0.4347244647356411,0.17923809882187988,-0.7860246830839568,-0.08342424638732543,-2.4254021192651347,0.015291438627946002,"C(vignette_condition, Treatment(reference='CC'))[T.CH]:C(story_condition, Treatment(reference='firework'))[T.trolley]",,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",How the CH - CC contrast changes in trolley relative to firework.,Supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,all_finishers,all,,"C(vignette_condition, Treatment(reference='CC'))[T.DIV]",0.7077083236139886,0.1231349583782552,0.46636823995476984,0.9490484072732074,5.747420009190218,9.061544377623513e-09,"C(vignette_condition, Treatment(reference='CC'))[T.DIV]",,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",DIV - CC when the vignette is first in the firework story family.,Supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,all_finishers,all,,"C(vignette_condition, Treatment(reference='CC'))[T.DIV]:C(story_condition, Treatment(reference='firework'))[T.trolley]",-0.1722144691921517,0.17861895409787748,-0.5223011861802046,0.17787224779590124,-0.9641444272357774,0.3349735214879461,"C(vignette_condition, Treatment(reference='CC'))[T.DIV]:C(story_condition, Treatment(reference='firework'))[T.trolley]",,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",How the DIV - CC contrast changes in trolley relative to firework.,Supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,all_finishers,all,,"C(vignette_position, Treatment(reference=1))[T.2]",0.3481741425505599,0.08371964558644136,0.18408665240267713,0.5122616326984426,4.158810517073518,3.199091306297394e-05,"C(vignette_position, Treatment(reference=1))[T.2]",,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",How appearing second changes the overall baseline relative to first.,Supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,all_finishers,all,,"C(vignette_position, Treatment(reference=1))[T.3]",0.4043151537269479,0.09249590963075345,0.22302650213339958,0.5856038053204962,4.371167928841249,1.2358369550576907e-05,"C(vignette_position, Treatment(reference=1))[T.3]",,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",How appearing third changes the overall baseline relative to first.,Supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,all_finishers,all,,Intercept,5.5407730745996355,0.1351534332131505,5.275877213114921,5.80566893608435,40.996169633821154,0.0,Intercept,,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Predicted mean for CC when it appears first in the firework story family.,Supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,observed_descriptive,all_finishers,all,,Within-subj | all_finishers | CC observed mean,5.875,,,,,,,1.8133623638547847,6.0,432,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Observed repeated-measures Clark-blame descriptive statistic pooled across story family and position.,Figure support or supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,observed_descriptive,all_finishers,all,,Within-subj | all_finishers | CH observed mean,6.837962962962963,,,,,,,1.751802126394528,7.0,432,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Observed repeated-measures Clark-blame descriptive statistic pooled across story family and position.,Figure support or supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,observed_descriptive,all_finishers,all,,Within-subj | all_finishers | DIV observed mean,6.49537037037037,,,,,,,1.7487089972808771,7.0,432,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Observed repeated-measures Clark-blame descriptive statistic pooled across story family and position.,Figure support or supplement
