inclusion_filter,model,outcome,term,estimate,std_error,t_value,p_value,n,r_squared
all_finishers,B_horizontal_vertical,clark_blame_div_minus_cc,individualism_horizontal,2.228030783050538,0.8611580641687494,2.587249514061267,0.010004852283976117,432,0.027367153194706728
all_finishers,B_horizontal_vertical,clark_blame_div_minus_cc,individualism_vertical,-1.5377080040316304,0.8906106507230483,-1.726577155554149,0.08496859660232683,432,0.027367153194706728
all_finishers,A_overall_individualism,clark_blame_min_ch_div_minus_cc,Intercept,0.4124989361080128,0.5207397346047778,0.792140312513475,0.4287187143205444,432,0.010345082870828248
all_finishers,A_overall_individualism,clark_blame_min_ch_div_minus_cc,C(load_condition)[T.low],-0.012321768170520192,0.17417972601267717,-0.07074168993481703,0.9436364594471516,432,0.010345082870828248
all_finishers,A_overall_individualism,clark_blame_min_ch_div_minus_cc,C(story_condition)[T.trolley],-0.2152503948047402,0.1738005246530902,-1.2384910530873534,0.2162144640181534,432,0.010345082870828248
all_finishers,A_overall_individualism,clark_blame_min_ch_div_minus_cc,crt_score,0.11401003451984826,0.07075595396379236,1.6113136511195951,0.10785026599049442,432,0.010345082870828248
all_finishers,A_overall_individualism,clark_blame_min_ch_div_minus_cc,individualism_score,-0.7495125234789188,1.0302885029862172,-0.727478294969332,0.4673316875418859,432,0.010345082870828248
all_finishers,B_horizontal_vertical,clark_blame_min_ch_div_minus_cc,Intercept,0.4567318020997542,0.5191931341435212,0.879695381282718,0.3795203146710294,432,0.020184169773816985
all_finishers,B_horizontal_vertical,clark_blame_min_ch_div_minus_cc,C(load_condition)[T.low],-0.041077128222057,0.1740711225315589,-0.2359789930958236,0.8135623815078039,432,0.020184169773816985
all_finishers,B_horizontal_vertical,clark_blame_min_ch_div_minus_cc,C(story_condition)[T.trolley],-0.20751623203442543,0.17317764243725745,-1.198285350891117,0.23147216266219486,432,0.020184169773816985
all_finishers,B_horizontal_vertical,clark_blame_min_ch_div_minus_cc,crt_score,0.11527468170641275,0.07048858639320495,1.6353666260716098,0.10271084176603097,432,0.020184169773816985
all_finishers,B_horizontal_vertical,clark_blame_min_ch_div_minus_cc,individualism_horizontal,0.9649884996755311,0.8264025142727026,1.1676979232387679,0.24358176821388078,432,0.020184169773816985
all_finishers,B_horizontal_vertical,clark_blame_min_ch_div_minus_cc,individualism_vertical,-1.788322444642699,0.8546664214379934,-2.092421557446718,0.036992063549500936,432,0.020184169773816985
